Occu,Year,sGrassHt2019,sLichen2019,sReliefPlot,sRelief200L,sOIS,PreFlood,OIS,GrassHt2019,Lichen2019,ReliefPlotL,Relief200mL
1,2019,-0.833017098,0.643131525,-0.01229044,-0.01229044,-0.831139985,1,2,3.665,54,0.009950331,0.009950331
1,2019,2.252190582,1.406697838,0.8829281,0.8829281,2.648086885,1,35,13.315,72,1.506297154,2.862772146
0,2019,0.226823675,0.006826263,-2.773375898,-2.773375898,1.066620126,1,20,6.98,39,-4.605170186,0.009950331
0,2019,-0.972091227,-0.75674005,-0.01229044,-0.01229044,-0.409415516,1,6,3.23,21,0.009950331,1.611435915
0,2019,-0.865947294,0.176507666,0.228309182,0.228309182,-1.042002219,1,0,3.562,43,0.412109651,0.412109651
0,2019,1.532841641,-1.647567416,-2.773375898,-2.773375898,1.172051243,1,21,11.065,0,-4.605170186,-4.605170186
1,2019,3.147380375,-0.120434789,0.8829281,0.8829281,2.542655767,1,34,16.115,36,1.506297154,2.862772146
1,2019,-0.153631987,1.533958891,-0.421084872,-0.421084872,-0.936571102,1,1,5.79,75,-0.673344553,0.009950331
1,2019,1.035691595,0.176507666,1.054707759,1.054707759,-1.042002219,1,0,9.51,43,1.793424749,3.555633735
0,2019,-0.463751308,1.109755383,-2.773375898,-2.773375898,-0.514846633,1,5,4.82,65,-4.605170186,-4.605170186
0,2019,-0.377109725,1.746060644,-2.773375898,-2.773375898,0.223171188,1,12,5.091,80,-4.605170186,1.101940079
0,2019,0.073362567,-1.477886013,-2.773375898,-2.773375898,-0.62027775,1,4,6.5,4,-4.605170186,-4.605170186
0,2019,-0.355049691,-1.477886013,0.641013629,0.641013629,-0.725708868,1,3,5.16,4,1.101940079,1.611435915
1,2019,1.689499855,-1.605147066,1.516747367,1.516747367,0.012308953,1,10,11.555,1,2.565718293,4.127295662
1,2019,0.829478232,-0.417377244,1.416887621,1.416887621,2.331793533,1,32,8.865,29,2.398803951,3.737907685
1,2019,0.911004445,-0.20527549,0.399429234,0.399429234,2.43722465,1,33,9.12,34,0.698134722,1.101940079
1,2019,-0.305494541,1.109755383,-0.718926377,-0.718926377,-0.514846633,1,5,5.315,65,-1.171182982,-0.673344553
1,2019,0.003026227,-0.968841804,1.054707759,1.054707759,-0.725708868,1,3,6.28,16,1.793424749,3.555633735
1,2019,-1.37332808,0.558290823,-0.01229044,-0.01229044,-1.042002219,1,0,1.975,52,0.009950331,0.009950331
1,2019,-0.858593949,1.024914682,0.812627907,0.812627907,-0.62027775,1,4,3.585,63,1.388791241,3.555633735
1,2019,-0.504993981,-0.078014438,0.732953255,0.732953255,1.172051243,1,21,4.691,37,1.255616037,2.63977136
1,2019,1.737456451,0.558290823,-0.01229044,-0.01229044,-0.936571102,1,1,11.705,52,0.009950331,1.388791241
1,2019,-0.431780244,0.176507666,-0.01229044,-0.01229044,-0.409415516,1,6,4.92,43,0.009950331,0.698134722
0,2019,-0.855396843,1.873321697,1.054707759,1.054707759,-0.514846633,1,5,3.595,83,1.793424749,3.17847041
0,2019,-1.411693357,0.431029771,-0.01229044,-0.01229044,-1.042002219,1,0,1.855,49,0.009950331,1.101940079
1,2019,2.453608285,0.38860942,-0.01229044,-0.01229044,1.488344595,1,24,13.945,48,0.009950331,0.009950331
0,2019,-1.214751603,-0.841580752,-0.01229044,-0.01229044,-1.042002219,1,0,2.471,19,0.009950331,0.009950331
1,2019,1.727865131,-0.417377244,1.054707759,1.054707759,0.750326774,1,17,11.675,29,1.793424749,3.044998515
0,2019,-0.75676611,-1.647567416,0.641013629,0.641013629,-0.936571102,1,1,3.9035,0,1.101940079,1.388791241
1,2019,-0.177610285,-1.647567416,-0.01229044,-0.01229044,-0.936571102,1,1,5.715,0,0.009950331,0.009950331
0,2019,-0.062514455,0.218928017,0.399429234,0.399429234,-0.831139985,1,2,6.075,44,0.698134722,1.947337701
0,2019,0.626461975,-1.223363909,-0.01229044,-0.01229044,-0.936571102,1,1,8.23,10,0.009950331,0.009950331
1,2019,-0.081697093,0.855233279,0.399429234,0.399429234,-0.62027775,1,4,6.015,59,0.698134722,0.698134722
0,2019,-0.749892332,0.558290823,0.399429234,0.399429234,0.539464539,1,15,3.925,52,0.698134722,2.862772146
0,2019,-0.677318016,1.024914682,-0.01229044,-0.01229044,-0.62027775,1,4,4.152,63,0.009950331,0.920282753
1,2019,0.271583165,0.38860942,0.812627907,0.812627907,0.539464539,1,15,7.12,48,1.388791241,2.741484977
1,2019,0.798146589,0.770392577,-0.01229044,-0.01229044,-0.831139985,1,2,8.767,57,0.009950331,0.009950331
0,2019,-0.872980928,0.982494331,-0.01229044,-0.01229044,-1.042002219,1,0,3.54,62,0.009950331,0.009950331
0,2019,-0.412597606,0.218928017,-2.773375898,-2.773375898,-0.725708868,1,3,4.98,44,-4.605170186,-4.605170186
0,2019,0.60408223,-0.290116192,-0.01229044,-0.01229044,-0.303984399,1,7,8.16,32,0.009950331,0.009950331
1,2019,0.72876938,-0.799160401,-0.01229044,-0.01229044,-0.936571102,1,1,8.55,20,0.009950331,0.698134722
